Feature,real,fake,MeanDecreaseAccuracy,MeanDecreaseGini
april,2.607468210639528,8.105001402031416,8.129988815463328,5.465998596261001
summer,-0.3640019129151279,10.753027741613709,8.116938473521877,5.8246857669453656
today,6.019979968704129,6.695602411769592,8.110780180326143,6.260816422195103
look,-2.4263393399167605,11.657177915458188,8.110219192481297,11.186874772763131
embrac,3.4334424656462654,7.79578962145216,8.108210174466969,5.979939978861866
say,7.661234803546178,0.809613329718361,8.097994791694203,10.29320660942641
best,0.242935352198888,9.61419614382658,8.078678211083666,8.512906038862933
festiv,3.410180934712806,7.925684394961386,8.076291539458676,3.669232037239989
octob,2.624468458896267,7.438436417652253,8.02031290700691,3.7542433480453186
state,5.72883895943139,6.913976474354503,7.983543670917697,12.489051902059153
social,6.648985070815588,3.671688347499734,7.968561285237517,8.708092474377594
novemb,3.243851686325336,7.973176761460785,7.924194571886332,4.475812024666713
abc,2.847963562029939,7.652705693731149,7.922560264206734,5.1329475249469
affleck,6.97338177041067,4.216777411562805,7.904100884511613,3.094719050710486
explor,0.7241155747409858,9.29652919459832,7.889939898559139,5.046662535252837
critic,8.065922302253284,1.823341045033129,7.886622863055392,7.90687921098336
watch,5.679786332849907,6.952402133266066,7.882201726240093,10.614214428118755
beauti,1.7060401621156562,8.510089935310116,7.836179023461659,8.162965596690588
night,1.8765361730433137,8.777063003851493,7.772706181836118,8.585992023268766
et,2.961909094444505,7.3458555715113025,7.760010917339567,5.973303293483917
kris,6.691648611282667,2.7848419563480737,7.636802113791512,4.516670969809751
told,6.041457475913676,3.262263640447587,7.634107717076633,8.131562287403833
appear,1.4196992676010391,8.480347124290518,7.62943644788075,11.830337570820356
meghan,6.991788495217256,2.7753899283053625,7.626301074437642,5.5025958626381595
other,8.674956402051142,-1.052211816810457,7.61757977097344,7.06949403313886
daughter,7.510451050658299,3.5148626889439996,7.606508271047723,8.00788908323365
don.t,3.562198931639026,5.952407057701466,7.581431187243636,4.69758810522325
describ,3.275832908559805,7.543319652075144,7.56361124588666,5.194507711184716
sexual,6.1602469836501745,5.040184221604567,7.551244632176031,5.873038067910591
present,-0.14685198303769964,9.115631740496688,7.550657193440796,4.57449669225426
interview,8.769959686810495,-0.4448856435245878,7.541610251730168,8.669960540249267
school,0.6340964823844688,7.597693132815607,7.488200031007424,3.7250440674918344
decemb,-0.950329480357492,9.620741319529838,7.473523915849677,5.965856283257825
new,7.348791702559655,2.109472096344089,7.458526746846077,12.886008383298355
offic,4.2424185764721845,6.283076939110308,7.427984263927925,4.831873731195159
releas,7.388269173910024,2.1302188425926567,7.405932981470221,5.78542579696053
secret,10.619869496570962,-3.2395523386264027,7.371281301145225,5.955993191377547
everi,1.671083849828828,8.208126099273423,7.351792528133539,5.35688706068783
you.r,0.9945201881818596,7.496571514814559,7.315444041143257,3.984205138018917
markl,6.502902279465859,2.9573719273592314,7.313752554783491,4.308144214605133
assault,5.67390485855067,5.171900799175035,7.251321103104718,3.7893378234089834
wear,2.320054245599022,7.566636489641356,7.211435627388405,5.7601187585104245
angel,0.8759122222610088,7.989436168181626,7.206822175788077,5.249095336691849
color,2.128203865942819,7.7222212459700925,7.1862297087590905,4.642747075790661
romanc,10.43647686361724,-2.9514916653855163,7.178735681388769,5.725303242450943
chang,7.922129650719003,0.9464965084245076,7.165258564479804,4.682636922483679
thank,2.8783762336961765,7.188982912466802,7.159940200873606,5.9429371869790675
mother,2.6865153891039073,6.730799128762309,7.151700074581143,7.370945512155274
makeup,4.0320342542342535,6.754735071436909,7.148042629345962,3.803570377797292
took,1.67544408803686,7.835070620860211,7.131934564398894,9.299589345095567
comment,9.004597981201792,-1.9894670765901097,7.114761653556973,8.077201053363508
includ,2.4698764666694824,7.257051821118048,7.08229719174603,8.713694949776825
park,4.199153351640281,6.197955747721115,7.081561226756273,3.0749487984019
california,0.22770001549695215,7.480483785763348,7.054004433830624,4.552178979867342
wrote,4.574762806075806,5.2965260574911905,7.017192504253727,5.7750770119653625
presid,4.066416707037228,5.307829692058489,7.009465070183161,5.596290366510332
product,2.041732965945694,7.208144749257242,6.992805185372743,4.404690226298913
game,-0.15513268878769776,6.937077256154963,6.990328294969313,4.964830059876468
it.,1.392154105359704,7.318167614583053,6.975226912453326,6.93093689828617
total,2.857643546817744,7.271432402493139,6.94404986498834,3.670573897026064
sign,7.78549427943289,0.5168943780880201,6.9387311195903365,4.2704943004599425
post,2.0497187368010854,7.225397903444627,6.920058362957924,9.225365693719649
gomez,8.619630544254465,1.7526403153906749,6.889877962287042,5.676366738651288
hair,1.2078549960196576,7.648367580049449,6.857243714254252,4.296873628851588
dead,3.5977075200141657,6.4590092497888465,6.85224137786231,3.2548543040595246
controversi,7.112533879033863,0.7401307451328824,6.8496308349559465,4.585014915086276
song,2.6185291853021337,6.392298845525328,6.847631610422145,5.451968877744665
inspir,0.5762313591653856,7.649488154688648,6.82048551308169,7.52989134297534
second,0.9351873386708072,8.031182000499891,6.812682393519994,6.237013030904829
citi,2.4508909277804727,6.6757352435215225,6.812065618448641,5.7091349761011
bella,4.45050505658344,5.212604705240277,6.809671470192921,3.0950686618621854
design,0.7210536420356974,8.39368164951846,6.808356384788565,6.031427437474645
kourtney,7.223130951748267,1.2471969828018472,6.801506034289592,4.577945904265469
juli,1.1329075869818137,6.84268674138148,6.763407786829266,4.794289990592803
alway,8.070514655618432,-2.46904743150179,6.730789195545331,6.286651764361837
red,0.914577981356028,8.230546960163654,6.699145779366279,6.67487598653764
portray,2.533729796802646,6.349459570076918,6.694340897037166,3.1822819871375385
within,2.7770301370181723,7.221730716089436,6.689240333455334,3.766688442892405
want,8.220672377019344,-2.180983798629054,6.6694577444938625,8.16741477619391
morn,0.09940670388850856,7.642134710328043,6.612001358903557,5.008401847382492
reveal,9.686345677850277,-5.175991272351572,6.61117881109375,9.235581211946023
tri,7.966286666143859,-2.5017118282234465,6.610050216023023,5.228019394969153
januari,1.5735016949604166,6.877266502491604,6.591814911160743,4.430723095923773
think,4.33700462390196,4.011021826947281,6.587108065192998,6.670406442375417
home,1.9894858314726411,6.444676321117422,6.578130965702962,7.16356737451298
remark,1.5883758097998686,6.816779115563753,6.521219385502993,4.959249225917269
marriag,8.489179284240928,-1.4966162615010166,6.511579451951851,5.750013225110865
like,0.11526348735732923,7.331952533265119,6.498132859491244,11.732750901845376
love,9.051651157283658,-3.24008691248587,6.494867860189842,10.024913274890448
univers,-0.920920184939695,7.509812745649996,6.494346299217494,2.7576770343431516
receiv,1.996505874625094,6.0560991017388774,6.487237663263679,5.638738180547658
light,0.927103139244258,6.671280066832407,6.452279878388653,5.578379721941879
harass,3.468838740977387,5.212421766557719,6.447214417378254,2.97230121256741
kill,4.304735300021696,4.995173737606749,6.445722697560888,3.3668466668241246
perform,4.183431110959635,6.542382204713401,6.428200414121357,7.912855261183599
recent,8.595442724656994,-3.526426008751873,6.416514944191767,8.427344447280047
one,2.9520236424189705,4.269106365367365,6.367375405302013,11.587369966993856
hollywood,7.90673057186206,1.5516282003330282,6.359343857054926,7.677953140071065
wore,2.0908216953360528,6.966896039854333,6.353926821676361,3.5590276247020687
us,0.9573688540546338,6.749695892029245,6.312366118389622,7.702920869828092
famili,8.344488587690687,-1.9839792959992009,6.310189567214985,9.052651778003936
weinstein,5.220411702370814,3.879553549533553,6.305510821032361,2.7385828952120437
friend,7.991583746526778,-1.8139482511292524,6.277636200377102,7.550306113220536
offer,2.5201378489396347,6.486411557653229,6.2707573190480845,6.21502492428738
court,4.331000439941269,4.743035010320499,6.260531346720857,3.5002562887106765
mom,1.9040640118722911,6.495430987559188,6.25763926266143,5.956391574358143
special,1.9798872688567903,6.469465926713142,6.254702048058659,5.792306193174592
audienc,2.8189350868529877,5.988215458479524,6.202374250075666,5.957986863375289
film,1.9095818968129388,6.596302895825088,6.177434450846492,7.925408076650367
day,0.2282530124921132,7.082290970275091,6.156125510656694,10.692426267540094
creat,2.588712098191124,6.105976469551385,6.133109892355258,6.021917577227865
septemb,3.2862337002466933,5.408540482621153,6.127025073569006,3.471472283969383
alleg,6.028228930564647,-1.9903334095818137,6.114317410350698,6.451067856142666
challeng,1.0797140600188464,7.054085873642001,6.103009320292261,5.473133166328127
five,-0.4484442393353202,7.069633720950421,6.099433170053003,3.438283548817042
wait,7.510637610696659,-0.3654745749028426,6.095216760007688,5.529903342502166
made,1.8120113798300328,5.960549745462974,6.073983133829762,8.467938222706161
bachelor,0.462257420639715,7.220699482193157,6.064876612854211,2.907612199129768
john,3.68350593590556,4.611195147404696,6.05210019661177,3.868782227373533
